iso3,country_plan_name,year,plan_type,overlooked_crisis_index,severity_score,funding_gap_score,scale_score,pooled_gap_score,vulnerability_score,crisis_status,data_completeness,total_people_in_need,total_people_targeted,total_people_reached,total_people_affected,total_population,crisis_severity_pct,affected_population_pct,num_clusters,num_subnational_regions,clusters,children_in_need,female_in_need,male_in_need,elderly_in_need,idp_in_need,returnee_in_need,host_community_in_need,refugee_in_need,children_vulnerability_pct,elderly_vulnerability_pct,female_vulnerability_pct,idp_pct,returnee_pct,refugee_pct,total_funding_usd,total_requirements_usd,funding_gap_usd,funding_coverage_pct,min_funding_coverage_pct,max_funding_coverage_pct,funding_gap_per_person_usd,num_response_plans,num_flash_appeals,num_regional_plans,plan_types,original_requirements_usd,revised_requirements_usd,requirements_change_usd,requirements_change_pct,requirements_revision_ratio,pooled_funding_usd,num_pooled_projects,pooled_coverage_pct,pooled_funding_gap_usd,reserve_projects,standard_projects,reserve_funding_usd,standard_funding_usd,reserve_allocation_pct,targeting_efficiency_pct,reach_efficiency_pct,cost_per_beneficiary_usd,beneficiaries_per_dollar,beneficiaries_per_dollar_pooled,avg_project_budget_usd,min_project_budget_usd,max_project_budget_usd,project_budget_variability,is_cost_anomaly,is_efficiency_anomaly,is_project_size_anomaly,is_severely_underfunded,has_major_requirement_increase,cost_zscore,efficiency_zscore,project_size_zscore,benchmark_cost_per_beneficiary,benchmark_beneficiaries_per_dollar,benchmark_project_size,benchmark_funding_coverage_pct,benchmark_pooled_coverage_pct,num_admin_regions,census_year,num_funding_plans,female_population,male_population,child_population,elderly_population,funding_millions_usd,requirements_millions_usd,gap_millions_usd,pooled_gap_millions_usd,requirements_change_millions_usd
JOR,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2024,2024,Regional response plan,73.36,0,61.95,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,374875580,985148139,610272559,38.05,38,38,null,18,0,15,"[""Regional Response"",""Other""]",61596722502,69663132139,8066409637,4.15,1.13,0,0,0,985148139,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,374.88,985.15,610.27,985.15,8066.41
RWA,Democratic Republic of the Congo Regional Refugee Response Plan 2024,2024,Regional response plan,72.52,0,60.74,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,9777004,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30740643,78302432,47561789,39.26,39,39,null,12,0,9,"[""Other"",""Regional Response""]",6347632010,5069953436,-1277678574,-8.99,0.8,0,0,0,78302432,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,5,2023,1,2446204,2442298,2311890,212082,30.74,78.3,47.56,78.3,-1277.68
MWI,Malawi Drought Response Flash Appeal 2025,2025,Flash appeal,72.5,0,60.72,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,79238040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22578191,57478430,34900239,39.28,39,39,null,7,5,0,"[""Other"",""Flash Appeal""]",302808070,383115050,80306980,-30.7,1.27,0,0,0,57478430,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,3,2023,1,20420493,19198528,20744395,2016354,22.58,57.48,34.9,57.48,80.31
DOM,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2024,2024,Regional response plan,70.68,0,58.11,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,42844620,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8148020,19450420,11302400,41.89,42,42,null,10,1,8,"[""Flash Appeal"",""Regional Response"",""Other""]",10009165763,10850563966,841398203,-8.4,1.08,0,0,0,19450420,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,10,2023,1,10734552,10687758,7562362,2532872,8.15,19.45,11.3,19.45,841.4
URY,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2024,2024,Regional response plan,70.54,0,57.92,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,14265627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3285100,7806263,4521163,42.08,42,42,null,9,0,8,"[""Other"",""Regional Response""]",9995180563,10831995140,836814577,-14.29,1.08,0,0,0,7806263,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,19,2023,1,3671007,3461712,1854422,1466669,3.29,7.81,4.52,7.81,836.81
ZMB,Zambia Drought Flash Appeal 2024,2024,Regional response plan,70.28,0,57.54,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,69706492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58693549,138244332,79550783,42.46,2,55,null,16,3,6,"[""Flash Appeal"",""Regional Response"",""Other""]",6211250639,4976979021,-1234271618,-15.83,0.8,0,0,0,138244332,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,10,2020,2,17440748,17412498,19720522,1245652,58.69,138.24,79.55,138.24,-1234.27
YEM,Yemen Humanitarian Needs and Response Plan 2025,2025,Humanitarian needs and response plan,70.26,100,71.52,63.2,98.27,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,19540217,10527030,5300000,null,34879018,56.02,null,13,0,"[""MS"",""PRO-GBV"",""PRO-MIN"",""CSS"",""FSC"",""NUT"",""HEA"",""EDU"",""CCM"",""SHL"",""WSH"",""PRO"",""PRO-CPN""]",72058168,59943533,50356073,78046040,null,null,null,null,368.77,399.41,306.77,null,null,null,705928116,2478772922,1772844806,28.48,28,28,90.73,26,2,4,"[""Regional Response"",""Other"",""HRP"",""Flash Appeal""]",37972720629,39779457750,1806737121,-0.39,1.05,43000000,3,1.73,2435772922,1,2,2000000,41000000,4.65,53.87,50.35,67.06,0.01,0.24,14333333.33,2000000,21000000,0.746,false,false,false,false,false,-0.23,-0.44,0.69,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,705.93,2478.77,1772.84,2435.77,1806.74
EGY,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2024,2024,Regional response plan,67.42,0,53.45,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,162791082,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120663855,259234188,138570333,46.55,34,78,null,20,0,18,"[""Other"",""Regional Response""]",61951447808,68609283161,6657835353,10.55,1.11,0,0,0,259234188,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,27,2012,2,39781629,41613912,null,null,120.66,259.23,138.57,259.23,6657.84
MDA,Ukraine Situation Regional Refugee Response Plan 2024,2024,Regional response plan,67.32,0,53.31,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,10415252,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,141494300,303055881,161561581,46.69,47,47,null,4,0,4,"[""Regional Response""]",4007017319,5246305310,1239287991,56.26,1.31,0,0,0,303055881,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,35,2022,1,2724784,2482842,1220474,1185962,141.49,303.06,161.56,303.06,1239.29
KEN,South Sudan Regional Refugee Response Plan 2025,2025,Regional response plan,66.91,0,52.73,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,190249722,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85533998,180960873,95426875,47.27,9,50,null,31,8,12,"[""Regional Response"",""Other"",""Flash Appeal""]",14047605319,12814442050,-1233163269,40.67,0.91,0,0,0,180960873,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,47,2019,2,48029134,47095727,47654376,5480874,85.53,180.96,95.43,180.96,-1233.16
AFG,Afghanistan Humanitarian Needs and Response Plan 2025,2025,Humanitarian needs and response plan,66.07,88.58,58.35,74.5,96.24,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,22887726,16790412,18100000,null,46024352,49.73,null,11,34,"[""HEA"",""WSH"",""FSC"",""NUT"",""PRO-CPN"",""PRO-HLP"",""EDU"",""PRO"",""PRO-GBV"",""SHL"",""PRO-MIN""]",237375362,null,null,5928150,null,null,null,null,1037.13,25.9,null,null,null,null,1006698560,2416811546,1410112986,41.65,42,42,61.61,30,2,0,"[""Flash Appeal"",""Other"",""HRP""]",30344639695,26874340201,-3470299494,-2.05,0.89,90900000,8,3.76,2325911546,7,1,77900000,13000000,85.7,73.36,107.8,59.96,0.02,0.18,11362500,2400000,29500000,0.7424,false,false,false,false,false,-0.31,-0.4,0.35,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,1006.7,2416.81,1410.11,2325.91,-3470.3
AFG,Afghanistan Humanitarian Needs and Response Plan 2024,2024,Humanitarian needs and response plan,64.11,88.58,48.24,74.5,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,22887726,16790412,18100000,null,46024352,49.73,null,11,34,"[""HEA"",""WSH"",""FSC"",""NUT"",""PRO-CPN"",""PRO-HLP"",""EDU"",""PRO"",""PRO-GBV"",""SHL"",""PRO-MIN""]",237375362,null,null,5928150,null,null,null,null,1037.13,25.9,null,null,null,null,1583509454,3059587797,1476078343,51.76,52,52,64.49,30,2,0,"[""Flash Appeal"",""Other"",""HRP""]",30344639695,26874340201,-3470299494,-2.05,0.89,0,0,0,3059587797,0,0,0,0,null,73.36,107.8,94.31,0.01,null,null,null,null,null,false,false,false,false,false,0.08,-0.55,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,1583.51,3059.59,1476.08,3059.59,-3470.3
BGD,Rohingya Humanitarian Crisis Joint Response Plan 2025,2025,Regional response plan,63.64,0,48.06,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,662601900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,503873592,970135849,466262257,51.94,44,52,null,17,1,10,"[""Regional Response"",""Other"",""Flash Appeal""]",10420599441,9898953129,-521646312,31.35,0.95,0,0,0,970135849,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,8,2022,2,168658468,162642482,113903114,35742372,503.87,970.14,466.26,970.14,-521.65
SDN,Sudan Humanitarian Needs and Response Plan 2026,2026,Humanitarian needs and response plan,63.6,27.42,86.98,100,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,30440770,20934770,20900000,null,190058116,16.02,null,12,0,"[""HEA"",""WSH"",""PRO-GBV"",""PRO"",""MS"",""PRO-CPN"",""SHL"",""FSC"",""PRO-MIN"",""EDU"",""NUT"",""CCM""]",168709373,149060723,135189341,11138045,124039159,null,55831204,null,554.22,36.59,489.67,407.48,null,null,373134224,2866228594,2493094370,13.02,13,13,81.9,32,1,1,"[""Other"",""HRP"",""Regional Response"",""Flash Appeal""]",37493088453,40860578631,3367490178,11.53,1.09,0,0,0,2866228594,0,0,0,0,null,68.77,99.83,17.82,0.06,null,null,null,null,null,false,false,false,true,false,-0.8,0.61,null,87.23,0.03,8378713.62,30.61,0.67,18,2024,1,47514098,47514960,49023816,5092056,373.13,2866.23,2493.09,2866.23,3367.49
YEM,Yemen Humanitarian Response Plan 2024,2024,Humanitarian response plan,63.53,100,43.55,63.2,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,19540217,10527030,5300000,null,34879018,56.02,null,13,0,"[""MS"",""PRO-GBV"",""PRO-MIN"",""CSS"",""FSC"",""NUT"",""HEA"",""EDU"",""CCM"",""SHL"",""WSH"",""PRO"",""PRO-CPN""]",72058168,59943533,50356073,78046040,null,null,null,null,368.77,399.41,306.77,null,null,null,1527533520,2705762394,1178228874,56.45,56,56,60.3,26,2,4,"[""Regional Response"",""Other"",""HRP"",""Flash Appeal""]",37972720629,39779457750,1806737121,-0.39,1.05,0,0,0,2705762394,0,0,0,0,null,53.87,50.35,145.11,0.01,null,null,null,null,null,false,false,false,false,false,0.66,-0.65,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,1527.53,2705.76,1178.23,2705.76,1806.74
SOM,Somalia Humanitarian Needs and Response Plan 2026,2026,Humanitarian needs and response plan,61.75,86.36,86.71,17.42,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,5979741,4571657,2700000,null,12327528,48.51,null,12,0,"[""WSH"",""SHL"",""PRO-MIN"",""EDU"",""HEA"",""PRO-CPN"",""PRO-HLP"",""FSC"",""PRO-GBV"",""NUT"",""CCM"",""PRO""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null,113199361,852000000,738800639,13.29,13,13,123.55,38,1,7,"[""Flash Appeal"",""Regional Response"",""Other"",""HRP""]",23555104171,25634934334,2079830163,5.14,1.09,0,0,0,852000000,0,0,0,0,null,76.45,59.06,24.76,0.04,null,null,null,null,null,false,false,false,true,false,-0.72,0.21,null,87.23,0.03,8378713.62,30.61,0.67,18,2014,1,null,null,null,null,113.2,852,738.8,852,2079.83
MWI,Malawi Drought Response Flash Appeal 2024,2024,Flash appeal,60.9,0,44.14,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,79238040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44151110,79032838,34881728,55.86,56,56,null,7,5,0,"[""Other"",""Flash Appeal""]",302808070,383115050,80306980,-30.7,1.27,0,0,0,79032838,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,3,2023,1,20420493,19198528,20744395,2016354,44.15,79.03,34.88,79.03,80.31
UKR,Ukraine Humanitarian Needs and Response Plan 2026,2026,Humanitarian needs and response plan,60.37,62.83,86.54,40.14,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,12708866,6016366,4800000,16260529,35765386,35.53,45.46,10,25,"[""PRO-MIN"",""HEA"",""EDU"",""PRO-GBV"",""FSC"",""PRO"",""WSH"",""CCM"",""SHL"",""PRO-CPN""]",null,null,null,null,46605852,null,null,null,null,null,null,366.72,null,null,310089453,2303961975,1993872522,13.46,13,13,156.89,17,2,0,"[""Flash Appeal"",""HRP"",""Other""]",15077298668,18657222917,3579924249,9.36,1.24,0,0,0,2303961975,0,0,0,0,null,47.34,79.78,51.54,0.02,null,null,null,null,null,false,false,false,true,false,-0.41,-0.33,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,310.09,2303.96,1993.87,2303.96,3579.92
BDI,Democratic Republic of the Congo Regional Refugee Response Plan 2024,2024,Regional response plan,58.11,0,40.16,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,68822795,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54060055,90341310,36281255,59.84,42,103,null,24,0,4,"[""Regional Response"",""Other""]",6008667434,4896995332,-1111672102,-0.07,0.81,0,0,0,90341310,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,18,2022,2,17226425,17184989,28876333,1240436,54.06,90.34,36.28,90.34,-1111.67
BGD,Rohingya Humanitarian Crisis Joint Response Plan 2024,2024,Regional response plan,57.92,0,39.88,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,662601900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,571761630,951060075,379298445,60.12,27,64,null,17,1,10,"[""Regional Response"",""Other"",""Flash Appeal""]",10420599441,9898953129,-521646312,31.35,0.95,0,0,0,951060075,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,8,2022,2,168658468,162642482,113903114,35742372,571.76,951.06,379.3,951.06,-521.65
ABW,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2024,2024,Regional response plan,57.77,0,39.67,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3271569,5422385,2150816,60.33,60,60,null,9,0,8,"[""Other"",""Regional Response""]",9995180563,10831995140,836814577,-14.29,1.08,0,0,0,5422385,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,3.27,5.42,2.15,5.42,836.81
SOM,Somalia Humanitarian Needs and Response Plan 2025,2025,Regional response plan,57.24,86.36,71.11,17.42,95.9,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,5979741,4571657,2700000,null,12327528,48.51,null,12,0,"[""WSH"",""SHL"",""PRO-MIN"",""EDU"",""HEA"",""PRO-CPN"",""PRO-HLP"",""FSC"",""PRO-GBV"",""NUT"",""CCM"",""PRO""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null,413347434,1430543255,1017195821,28.89,16,29,170.11,38,1,7,"[""Flash Appeal"",""Regional Response"",""Other"",""HRP""]",23555104171,25634934334,2079830163,5.14,1.09,58650000,7,4.1,1371893255,4,3,30650000,28000000,52.26,76.45,59.06,90.42,0.01,0.08,8378571.43,250000,20000000,1.0465,false,false,false,false,false,0.04,-0.54,0,87.23,0.03,8378713.62,30.61,0.67,18,2014,2,null,null,null,null,413.35,1430.54,1017.2,1371.89,2079.83
MNG,Mongolia Dzud Response Plan 2024,2024,Other,56.5,0,37.85,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,13117617,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8487790,13658011,5170221,62.15,62,62,null,3,0,0,"[""Other""]",29587794,36962805,7375011,39.13,1.25,0,0,0,13658011,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,22,2021,1,3332539,3226275,2539705,482921,8.49,13.66,5.17,13.66,7.38
SDN,Sudan Humanitarian Needs and Response Plan 2025,2025,Humanitarian needs and response plan,56.44,27.42,60.83,100,95.88,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,30440770,20934770,20900000,null,190058116,16.02,null,12,0,"[""HEA"",""WSH"",""PRO-GBV"",""PRO"",""MS"",""PRO-CPN"",""SHL"",""FSC"",""PRO-MIN"",""EDU"",""NUT"",""CCM""]",168709373,149060723,135189341,11138045,124039159,null,55831204,null,554.22,36.59,489.67,407.48,null,null,1630357837,4162518656,2532160819,39.17,39,39,83.18,32,1,1,"[""Other"",""HRP"",""Regional Response"",""Flash Appeal""]",37493088453,40860578631,3367490178,11.53,1.09,171630000,14,4.12,3990888656,10,4,74000000,97630000,43.12,68.77,99.83,77.88,0.01,0.12,12259285.71,2000000,33000000,0.9065,false,false,false,false,false,-0.11,-0.5,0.45,87.23,0.03,8378713.62,30.61,0.67,18,2024,1,47514098,47514960,49023816,5092056,1630.36,4162.52,2532.16,3990.89,3367.49
PSE,Escalation of Hostilities in the OPT Flash Appeal 2025,2025,Flash appeal,55.75,0,37.9,0,97.41,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,21933800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2529405746,4073058682,1543652936,62.1,62,62,null,29,5,0,"[""Flash Appeal"",""Other""]",20753057659,23393503442,2640445783,28.99,1.13,105310000,5,2.59,3967748682,5,0,105310000,0,100,null,null,null,null,null,21062000,5110000,40000000,0.6798,false,false,false,false,false,null,null,1.47,87.23,0.03,8378713.62,30.61,0.67,2,2023,1,5395100,5571800,5218596,625150,2529.41,4073.06,1543.65,3967.75,2640.45
PHL,Philippines Tropical Cyclones and Floods Humanitarian Needs and Priorities 2024,2024,Other,54.72,0,35.31,0,100,0,HIGH - Significantly Overlooked,Partial - Funding Data Only,null,null,null,null,461511968,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16393911,25342126,8948215,64.69,65,65,null,16,4,0,"[""Other"",""Flash Appeal""]",1696504529,2395147436,698642907,39.21,1.41,0,0,0,25342126,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,17,2025,1,114371060,116384924,86921318,22921656,16.39,25.34,8.95,25.34,698.64
COD,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,2026,Humanitarian needs and response plan,53.76,10.17,89.7,68.95,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,21241767,10988449,9100000,null,326399090,6.51,null,13,0,"[""MS"",""PRO-GBV"",""PRO-CPN"",""EDU"",""PRO-HLP"",""FSC"",""WSH"",""HEA"",""PRO"",""SHL"",""CCM"",""PRO-MIN"",""NUT""]",93487494,79370244,79050631,4558587,null,null,null,null,440.11,21.46,373.65,null,null,null,144542755,1403721718,1259178963,10.3,10,10,59.28,30,0,0,"[""Other"",""HRP""]",28749029781,29152363199,403333418,-3.55,1.01,0,0,0,1403721718,0,0,0,0,null,51.73,82.81,13.15,0.08,null,null,null,null,null,false,false,false,true,false,-0.85,1.12,null,87.23,0.03,8378713.62,30.61,0.67,26,2020,1,81927052,81272493,120000374,null,144.54,1403.72,1259.18,1403.72,403.33
HND,Honduras Necesidades Humanitarias y Plan de Respuesta 2025,2025,Humanitarian needs and response plan,53.59,5.88,88.75,2.77,100,95.87,HIGH - Significantly Overlooked,Complete - Has HNO Data,1640224,796974,132000,null,39570696,4.15,null,9,0,"[""WSH"",""PRO-GBV"",""FSC"",""HEA"",""NUT"",""PRO-CPN"",""PRO"",""EDU"",""CCM""]",2348786,551587,1884876,1354543,341708,1581957,6046794,null,143.2,82.58,33.63,20.83,96.45,null,15576631,138491372,122914741,11.25,11,11,74.94,9,3,0,"[""Flash Appeal"",""Other"",""HRP""]",1142380143,1007973686,-134406457,-4.44,0.88,0,0,0,138491372,0,0,0,0,null,48.59,16.56,19.54,0.05,null,null,null,null,null,false,false,false,true,false,-0.78,0.48,null,87.23,0.03,8378713.62,30.61,0.67,18,2024,1,10162362,9622986,7799700,1775720,15.58,138.49,122.91,138.49,-134.41
SSD,South Sudan Humanitarian Needs and Response Plan 2026,2026,Humanitarian needs and response plan,51.19,32.35,89.51,28.6,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,9290088,5386982,3900000,11289748,49579884,18.74,22.77,14,0,"[""HEA"",""SHL"",""FSC"",""NUT"",""CCM"",""PRO-CPN"",""MPC"",""LOG"",""PRO-MIN"",""WSH"",""EDU"",""PRO-GBV"",""PRO"",""PRO-HLP""]",12650,null,null,null,null,null,null,null,0.14,null,null,null,null,null,153429173,1463046056,1309616883,10.49,10,10,140.97,20,0,1,"[""Other"",""Regional Response"",""HRP""]",24237521513,26038709753,1801188240,6.46,1.07,0,0,0,1463046056,0,0,0,0,null,57.99,72.4,28.48,0.04,null,null,null,null,null,false,false,false,true,false,-0.67,0.07,null,87.23,0.03,8378713.62,30.61,0.67,10,2022,1,12487886,12302058,13257516,1784170,153.43,1463.05,1309.62,1463.05,1801.19
SOM,Somalia Humanitarian Needs and Response Plan 2024,2024,Regional response plan,51,86.36,43.7,17.42,100,0,HIGH - Significantly Overlooked,Complete - Has HNO Data,5979741,4571657,2700000,null,12327528,48.51,null,12,0,"[""WSH"",""SHL"",""PRO-MIN"",""EDU"",""HEA"",""PRO-CPN"",""PRO-HLP"",""FSC"",""PRO-GBV"",""NUT"",""CCM"",""PRO""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null,898297815,1595623827,697326012,56.3,17,57,116.61,38,1,7,"[""Flash Appeal"",""Regional Response"",""Other"",""HRP""]",23555104171,25634934334,2079830163,5.14,1.09,0,0,0,1595623827,0,0,0,0,null,76.45,59.06,196.49,0.01,null,null,null,null,null,false,false,false,false,false,1.25,-0.7,null,87.23,0.03,8378713.62,30.61,0.67,18,2014,2,null,null,null,null,898.3,1595.62,697.33,1595.62,2079.83
MLI,Mali Besoins Humanitaires et Plan de Réponse 2026,2026,Humanitarian needs and response plan,49.51,30.94,91.95,18.95,100,0,MODERATE - Partially Overlooked,Complete - Has HNO Data,6431534,4709012,1800000,null,35814228,17.96,null,12,0,"[""HEA"",""PRO-MIN"",""WSH"",""PRO-CPN"",""FSC"",""PRO-GBV"",""NUT"",""PRO"",""PRO-HLP"",""EDU"",""SHL"",""MS""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null,46526485,577866412,531339927,8.05,8,8,82.61,26,0,8,"[""Regional Response"",""HRP"",""Other""]",10957644749,10471030802,-486613947,9.44,0.96,0,0,0,577866412,0,0,0,0,null,73.22,38.22,9.88,0.1,null,null,null,null,null,false,false,false,true,false,-0.89,1.77,null,87.23,0.03,8378713.62,30.61,0.67,9,2018,1,9026696,8880418,null,null,46.53,577.87,531.34,577.87,-486.61
COD,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2025,2025,Humanitarian needs and response plan,49.48,10.17,73.61,68.95,98.29,0,MODERATE - Partially Overlooked,Complete - Has HNO Data,21241767,10988449,9100000,null,326399090,6.51,null,13,0,"[""MS"",""PRO-GBV"",""PRO-CPN"",""EDU"",""PRO-HLP"",""FSC"",""WSH"",""HEA"",""PRO"",""SHL"",""CCM"",""PRO-MIN"",""NUT""]",93487494,79370244,79050631,4558587,null,null,null,null,440.11,21.46,373.65,null,null,null,669859519,2538016151,1868156632,26.39,26,26,87.95,30,0,0,"[""Other"",""HRP""]",28749029781,29152363199,403333418,-3.55,1.01,43351831,4,1.71,2494664320,3,1,23351831,20000000,53.87,51.73,82.81,60.96,0.02,0.25,10837957.75,351831,20000000,0.9812,false,false,false,false,false,-0.3,-0.41,0.29,87.23,0.03,8378713.62,30.61,0.67,26,2020,1,81927052,81272493,120000374,null,669.86,2538.02,1868.16,2494.66,403.33
SDN,Sudan Humanitarian Needs and Response Plan 2024,2024,Humanitarian needs and response plan,49.17,27.42,29.26,100,100,0,MODERATE - Partially Overlooked,Complete - Has HNO Data,30440770,20934770,20900000,null,190058116,16.02,null,12,0,"[""HEA"",""WSH"",""PRO-GBV"",""PRO"",""MS"",""PRO-CPN"",""SHL"",""FSC"",""PRO-MIN"",""EDU"",""NUT"",""CCM""]",168709373,149060723,135189341,11138045,124039159,null,55831204,null,554.22,36.59,489.67,407.48,null,null,1906845972,2695680744,788834772,70.74,71,71,25.91,32,1,1,"[""Other"",""HRP"",""Regional Response"",""Flash Appeal""]",37493088453,40860578631,3367490178,11.53,1.09,0,0,0,2695680744,0,0,0,0,null,68.77,99.83,91.09,0.01,null,null,null,null,null,false,false,false,false,false,0.04,-0.54,null,87.23,0.03,8378713.62,30.61,0.67,18,2024,1,47514098,47514960,49023816,5092056,1906.85,2695.68,788.83,2695.68,3367.49
